,配置效应(AR),选股效应(SR),re_p,re_b,配置收益AR',选择收益SR',超额收益ER',误差
2017-06-30 00:00:00,0.23921378591782488,0.044982919963615406,0.45745967867275006,0.17326297279130978,0.5809433119875839,0.10924339668079261,0.6901867086683766,1.3877787807814457e-17
2017-12-31 00:00:00,0.0346959929369609,-0.06508153672601284,0.12734557197270563,0.15773111576175752,0.10607565336420666,-0.1989730209681995,-0.09289736760399271,4.163336342344337e-17
2018-06-30 00:00:00,0.0032854818105807065,0.11633146935681862,0.041911590646330724,-0.07770536052106862,0.012277864630004062,0.4347313774109842,0.44700924204098824,1.3877787807814457e-17
2018-12-31 00:00:00,-0.08543567631357227,0.05238858336667289,-0.1334556244500407,-0.10040853150314132,-0.3697843921830608,0.2267493077069402,-0.14303508447612054,0.0
2019-06-30 00:00:00,-0.05179675848997674,0.1564511071394099,0.45729146939662646,0.35263712074719333,-0.1436221430669763,0.4338079051203818,0.2901857620534055,-5.551115123125783e-17
2019-12-31 00:00:00,0.20159013308471244,0.41341228575540134,0.7363392814234823,0.1213368625833685,0.7264377688226211,1.4897470122796808,2.216184781102302,0.0
2020-06-30 00:00:00,0.23484669713398695,0.2538273831392005,0.6048671868922154,0.1161931066190279,1.3164635997519951,1.422862295280294,2.739325895032289,0.0
2020-12-31 00:00:00,0.12628007913401573,-0.08271355546090654,0.42411195712720784,0.3805454334540985,0.8229010905276533,-0.5390008895857986,0.2839002009418554,1.249000902703301e-16
2021-06-30 00:00:00,0.09915477083034728,0.09184492427483353,0.26094430378556677,0.06994460868038595,0.8600213758100274,0.7966192395437909,1.6566406153538185,2.7755575615628914e-17
2021-12-31 00:00:00,0.0483248793365213,0.06663639189736507,0.1259727769110228,0.011011505677136428,0.5227646531705116,0.7208533322179211,1.2436179853884326,-1.3877787807814457e-17
总计,,,,,4.4344787828145655,4.896639955686787,9.331118738501354,
