date,是否调整,基金收益,基准实际收益,大类资产择时收益(TR),选股效应(SR),配置效应(AR),估计误差
2017-06-30,调整前,0.022569431652868177,0.086999461686677,,-0.024098155974758097,0.11016848415018957,-0.1505003582092403
2017-06-30,调整后,0.022569431652868177,0.086999461686677,0.01938937717342385,-0.022037763638916276,0.10074907875534835,-0.16253072232366475
2017-12-31,调整前,0.13964348911940982,0.07997423342227249,,-0.021970862561456993,0.05326841564223816,0.028371702616356187
2017-12-31,调整后,0.13964348911940982,0.07997423342227249,0.01292652059060302,-0.01940905998679111,0.0470573183783532,0.019094476714972233
2018-06-30,调整前,-0.21223351633698728,-0.09746455905819418,,0.07702666769344112,-0.08827746384335157,-0.10351816112888267
2018-06-30,调整后,-0.21223351633698728,-0.09746455905819418,-0.005048249796911536,0.06528010087019134,-0.07481515060724046,-0.10018565774483243
2018-12-31,调整前,-0.18620035432597437,-0.10863881070004441,,0.063700507292269,-0.0023814013626196756,-0.13888064955557927
2018-12-31,调整后,-0.18620035432597437,-0.10863881070004441,-0.0017048983176506279,0.05181399263153161,-0.0019370318683548443,-0.12573360607145612
2019-06-30,调整前,0.24970965562799963,0.2205884197505426,,-0.16722975626085354,-0.05179226790282295,0.24814326004113352
2019-06-30,调整后,0.24970965562799963,0.2205884197505426,0.029022131412702646,-0.14838296273025542,-0.045955279310174825,0.1944373465051846
2019-12-31,调整前,0.34572501310465187,0.06123759449532722,,-0.024877926817193956,0.2067659734775817,0.1025993719489369
2019-12-31,调整后,0.34572501310465187,0.06123759449532722,0.011975823824531124,-0.022927497354725948,0.19055552115693927,0.10488357098258017
2020-06-30,调整前,0.43750004694377953,0.018974661355798218,,0.05386931806708767,0.11497951117763093,0.24967655634326272
2020-06-30,调整后,0.43750004694377953,0.018974661355798218,0.011428893569741052,0.050163108984072044,0.10706892080860994,0.24986446222555825
2020-12-31,调整前,0.32836893284312585,0.20270091190149592,,-0.29593643710023776,0.18083853735150243,0.2407659206903653
2020-12-31,调整后,0.32836893284312585,0.20270091190149592,0.046830542864896754,-0.27388917253626993,0.16736606631881543,0.18536058429418772
2021-06-30,调整前,0.09349003159220826,0.005308051125571688,,0.07409654330653533,0.021770119733427747,-0.007684682573326496
2021-06-30,调整后,0.09349003159220826,0.005308051125571688,0.006159942566729665,0.06785761436012507,0.019937075651873134,-0.005772652112091298
2021-12-31,调整前,0.2082023721089874,-0.03839994609678561,,0.15969237304349557,0.06260428217430763,0.024305662987969823
2021-12-31,调整后,0.2082023721089874,-0.03839994609678561,-0.0011117054074648702,0.14025781124410217,0.054985341033694395,0.052470871335441316
